 longitude,latitude,de,dn
  172.0000,-37.0000,9999.000000,9999.000000
  173.0000,-37.0000,9999.000000,9999.000000
  174.0000,-37.0000,  -0.000056,  -0.000048
  175.0000,-37.0000,  -0.000154,  -0.000571
  165.0000,-36.0000,9999.000000,9999.000000
  166.0000,-36.0000,9999.000000,9999.000000
  167.0000,-36.0000,9999.000000,9999.000000
  168.0000,-36.0000,9999.000000,9999.000000
  169.0000,-36.0000,9999.000000,9999.000000
  170.0000,-36.0000,9999.000000,9999.000000
  171.0000,-36.0000,9999.000000,9999.000000
  172.0000,-36.0000,   0.000000,   0.000001
  173.0000,-36.0000,  -0.000045,   0.000019
  174.0000,-36.0000,  -0.000131,   0.000086
  175.0000,-36.0000,   0.000436,  -0.000278
  165.0000,-35.0000,9999.000000,9999.000000
  166.0000,-35.0000,9999.000000,9999.000000
  167.0000,-35.0000,9999.000000,9999.000000
  168.0000,-35.0000,9999.000000,9999.000000
  169.0000,-35.0000,9999.000000,9999.000000
  170.0000,-35.0000,9999.000000,9999.000000
  171.0000,-35.0000,9999.000000,9999.000000
  172.0000,-35.0000,   0.000067,   0.000024
  173.0000,-35.0000,   0.000160,   0.000062
  174.0000,-35.0000,   0.000418,   0.000116
  175.0000,-35.0000,   0.001172,  -0.000365
